-0.529077,-0.111111,-0.333333,1,0.395653,0,1,
-0.523809,-0.137376,-0.333333,1,0.395653,0,1,
-0.523809,-0.111111,-0.356233,1,0.395653,0,1,
-0.523809,-0.111111,-0.312512,1,0.399204,0,1,
-0.523809,-0.137376,-0.333333,1,0.399204,0,1,
-0.529077,-0.111111,-0.333333,1,0.399204,0,1,
-0.529077,-0.111111,0.333333,0,0.604347,1,1,
-0.523809,-0.137377,0.333333,0,0.604347,1,1,
-0.523809,-0.111111,0.312512,0,0.604347,1,1,
-0.523809,-0.111111,0.356233,0,0.600796,1,1,
-0.523809,-0.137377,0.333333,0,0.600796,1,1,
-0.529077,-0.111111,0.333333,0,0.600796,1,1,
-0.526513,-0.079365,-0.365079,1,0.285864,0,1,
-0.523809,-0.0974382,-0.365079,1,0.285864,0,1,
-0.523809,-0.079365,-0.36921,1,0.285864,0,1,
-0.526513,-0.079365,-0.365079,1,0.285864,0,1,
-0.53401,-0.079365,-0.333333,1,0.285864,0,1,
-0.529077,-0.111111,-0.333333,1,0.285864,0,1,
-0.523809,-0.0974382,-0.365079,1,0.350791,0,1,
-0.526513,-0.079365,-0.365079,1,0.350791,0,1,
-0.529077,-0.111111,-0.333333,1,0.350791,0,1,
-0.523809,-0.111111,-0.356233,1,0.399204,0,1,
-0.523809,-0.0974382,-0.365079,1,0.399204,0,1,
-0.529077,-0.111111,-0.333333,1,0.399204,0,1,
-0.529077,-0.111111,-0.333333,1,0.395653,0,1,
-0.53401,-0.079365,-0.333333,1,0.395653,0,1,
-0.524701,-0.079365,-0.301587,1,0.395653,0,1,
-0.529077,-0.111111,-0.333333,1,0.395653,0,1,
-0.524701,-0.079365,-0.301587,1,0.395653,0,1,
-0.523809,-0.0860466,-0.301587,1,0.395653,0,1,
-0.529077,-0.111111,-0.333333,1,0.395653,0,1,
-0.523809,-0.0860466,-0.301587,1,0.395653,0,1,
-0.523809,-0.111111,-0.312512,1,0.395653,0,1,
-0.523809,-0.079365,-0.300663,1,0.287188,0,1,
-0.523809,-0.0860466,-0.301587,1,0.287188,0,1,
-0.524701,-0.079365,-0.301587,1,0.287188,0,1,
-0.524701,-0.079365,0.301587,0,0.713251,1,1,
-0.523809,-0.0860468,0.301587,0,0.713251,1,1,
-0.523809,-0.079365,0.300663,0,0.713251,1,1,
-0.524701,-0.079365,0.301587,0,0.713251,1,1,
-0.53401,-0.079365,0.333333,0,0.713251,1,1,
-0.529077,-0.111111,0.333333,0,0.713251,1,1,
-0.523809,-0.0860468,0.301587,0,0.689349,1,1,
-0.524701,-0.079365,0.301587,0,0.689349,1,1,
-0.529077,-0.111111,0.333333,0,0.689349,1,1,
-0.523809,-0.111111,0.312512,0,0.600796,1,1,
-0.523809,-0.0860468,0.301587,0,0.600796,1,1,
-0.529077,-0.111111,0.333333,0,0.600796,1,1,
-0.529077,-0.111111,0.333333,0,0.604347,1,1,
-0.53401,-0.079365,0.333333,0,0.604347,1,1,
-0.526513,-0.079365,0.365079,0,0.604347,1,1,
-0.529077,-0.111111,0.333333,0,0.604347,1,1,
-0.526513,-0.079365,0.365079,0,0.604347,1,1,
-0.523809,-0.0974384,0.365079,0,0.604347,1,1,
-0.529077,-0.111111,0.333333,0,0.604347,1,1,
-0.523809,-0.0974384,0.365079,0,0.604347,1,1,
-0.523809,-0.111111,0.356233,0,0.604347,1,1,
-0.523809,-0.079365,0.36921,0,0.712812,1,1,
-0.523809,-0.0974384,0.365079,0,0.712812,1,1,
-0.526513,-0.079365,0.365079,0,0.712812,1,1,
-0.529687,-0.047619,-0.365079,1,0.171386,0,1,
-0.526513,-0.079365,-0.365079,1,0.171386,0,1,
-0.523809,-0.047619,-0.373756,1,0.171386,0,1,
-0.523809,-0.047619,-0.373756,1,0.173147,0,1,
-0.526513,-0.079365,-0.365079,1,0.173147,0,1,
-0.523809,-0.079365,-0.36921,1,0.173147,0,1,
-0.529687,-0.047619,-0.365079,1,0.171386,0,1,
-0.537461,-0.047619,-0.333333,1,0.171386,0,1,
-0.53401,-0.079365,-0.333333,1,0.171386,0,1,
-0.526513,-0.079365,-0.365079,1,0.285864,0,1,
-0.529687,-0.047619,-0.365079,1,0.285864,0,1,
-0.53401,-0.079365,-0.333333,1,0.285864,0,1,
-0.537461,-0.047619,-0.333333,1,0.169006,0,1,
-0.527382,-0.047619,-0.301587,1,0.169006,0,1,
-0.524701,-0.079365,-0.301587,1,0.169006,0,1,
-0.53401,-0.079365,-0.333333,1,0.28213,0,1,
-0.537461,-0.047619,-0.333333,1,0.28213,0,1,
-0.524701,-0.079365,-0.301587,1,0.28213,0,1,
-0.523809,-0.047619,-0.298227,1,0.173147,0,1,
-0.524701,-0.079365,-0.301587,1,0.173147,0,1,
-0.527382,-0.047619,-0.301587,1,0.173147,0,1,
-0.523809,-0.079365,-0.300663,1,0.287188,0,1,
-0.524701,-0.079365,-0.301587,1,0.287188,0,1,
-0.523809,-0.047619,-0.298227,1,0.287188,0,1,
-0.527382,-0.047619,0.301587,0,0.827928,1,1,
-0.524701,-0.079365,0.301587,0,0.827928,1,1,
-0.523809,-0.047619,0.298227,0,0.827928,1,1,
-0.523809,-0.047619,0.298227,0,0.826853,1,1,
-0.524701,-0.079365,0.301587,0,0.826853,1,1,
-0.523809,-0.079365,0.300663,0,0.826853,1,1,
